rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n0,true,0.7771457452988876,0.746446853383712,12,3300,false,0,0,0.4980477120012749,0.4450878813640151,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n1,false,0.14867749992792145,0.7542458758323816,0,3300,false,500,0,0.24486701391518495,0.219915457707192,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n2,true,0.6101721796345212,0.8003528173131926,13,3300,false,0,0,0.4121270694795848,0.8972759475418117,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n3,false,0.007491228847417469,0.734053548110419,0,3300,false,0,0,0.5144337102074323,0.07595471670217813,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n4,true,0.8424270162034311,0.7797815630082817,12,3300,false,0,0,0.3302299236162659,0.840575071327416,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n6,true,0.46540732113002037,0.8436641981430812,12,3300,false,0,0,0.8462237315786152,0.7929599181749184,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n9,false,0.4471246394345919,0.3467547303406848,0,3300,false,0,0,0.6984883332339332,0.36557837127056514,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n10,true,0.4138459018248699,0.6052875139547479,12,3300,false,0,0,0.6179265606682179,0.4620361204540254,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n12,false,0.8751397280486082,0.46931172469547855,0,3300,false,0,0,0.08411280914527236,0.5597288968719627,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n13,false,0.8277311209625368,0.770227106546004,0,278,true,278,2,0.032908705347140965,0.05722521380729462,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n15,false,0.2893914612596239,0.7453848249619409,0,3300,false,0,0,0.3777788934913462,0.8952486235541306,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n19,false,0.5760204252617931,0.8660997797776264,0,3300,false,0,0,0.025086569532347502,0.8345130043941151,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n23,true,0.30812458616394534,0.6869305902518238,14,3300,false,0,0,0.7357288745401944,0.6071228680604048,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n26,true,0.5848171286792349,0.7283967725978981,11,3300,false,0,0,0.8628953556936059,0.5069426793701881,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n29,true,0.026885509061737034,0.6845589457431854,14,3300,false,0,0,0.5402437750472555,0.7207749337085737,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n35,true,0.09416343844601593,0.9640997661167149,14,3300,false,0,0,0.06949560417371914,0.36943808839464876,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n36,false,0.47448772653675125,0.6715736316996999,0,3300,false,0,0,0.47895824116147556,0.47494003247339733,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n37,true,0.7284589300609964,0.594046994672088,12,3108,false,0,1,0.22258278951592947,0.9176479534733712,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n39,true,0.8091645619294809,0.8209471485134687,13,3300,false,0,0,0.6282187731189162,0.8741847330930175,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n45,true,0.501141489055081,0.5217542564532285,13,3300,false,0,0,0.5718414816600195,0.5195569796655163,null
8776656,27306356,642039,7323589,811028,432787,209252,4813332,0,485594,325434,172735,260052,1285614,1433895,1060563,0,126401,359193,105694,219740,619839,26686517,215359,398706,5774,91998,123361,42183,49815,82336,41025,397098,1608,153669,243429,1608,0,350,5424,344,6,5424,0,11421848,15264669,3827601,7594247,6822424,8442245,n46,true,0.12358340315619132,0.5737464924266803,13,3300,false,0,0,0.4548321788886257,0.8787689766806486,null
