rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n0,true,0.796373092229569,0.746446853383712,12,1815,false,500,2,0.4980477120012749,0.4450878813640151,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n1,false,0.1502543428891329,0.7542458758323816,0,7200,false,500,0,0.24486701391518495,0.219915457707192,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n2,false,0.6285597119425721,0.8003528173131926,0,7200,false,0,0,0.4121270694795848,0.8972759475418117,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n3,false,0.007637671294629996,0.734053548110419,0,7200,false,0,0,0.5144337102074323,0.07595471670217813,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n4,false,0.8627430546273994,0.7797815630082817,0,7200,false,500,0,0.3302299236162659,0.840575071327416,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n6,true,0.46735211195930326,0.8436641981430812,14,4333,false,499,2,0.8462237315786152,0.7929599181749184,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n9,true,0.4501439216503186,0.3467547303406848,13,1984,false,500,2,0.6984883332339332,0.36557837127056514,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n10,false,0.42641520751595396,0.6052875139547479,0,4833,false,500,1,0.6179265606682179,0.4620361204540254,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n12,false,0.8777778538269264,0.46931172469547855,0,7200,false,0,0,0.08411280914527236,0.5597288968719627,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n13,false,0.8286504079374423,0.770227106546004,0,762,false,502,4,0.032908705347140965,0.05722521380729462,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n15,true,0.29210994691676173,0.7453848249619409,14,638,false,500,3,0.3777788934913462,0.8952486235541306,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n19,false,0.5762393535224887,0.8660997797776264,0,3068,false,501,2,0.025086569532347502,0.8345130043941151,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n23,false,0.32504184710677025,0.6869305902518238,0,4267,false,500,2,0.7357288745401944,0.6071228680604048,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n26,false,0.6098292429656154,0.7283967725978981,0,4828,false,500,1,0.8628953556936059,0.5069426793701881,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n29,false,0.02788690606564295,0.6845589457431854,0,468,false,501,4,0.5402437750472555,0.7207749337085737,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n35,true,0.09416343844601593,0.9640997661167149,13,7200,false,0,0,0.06949560417371914,0.36943808839464876,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n36,false,0.48326041024987415,0.6715736316996999,0,7200,false,0,0,0.47895824116147556,0.47494003247339733,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n37,false,0.7402967855991941,0.594046994672088,0,7200,false,0,0,0.22258278951592947,0.9176479534733712,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n39,false,0.8466116459872971,0.8209471485134687,0,7200,false,0,0,0.6282187731189162,0.8741847330930175,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n45,false,0.5210720268435853,0.5217542564532285,0,6751,false,500,2,0.5718414816600195,0.5195569796655163,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n46,false,0.12774755521455256,0.5737464924266803,0,7200,false,500,0,0.4548321788886257,0.8787689766806486,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n47,false,0.5146186499566404,0.6467698614541888,0,2154,false,502,5,0.2790971915137339,0.9147152123803776,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n49,false,0.23602426030101373,0.7182334817296608,0,7200,false,0,0,0.3207904885745507,0.863332926291588,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n51,false,0.14954923245943225,0.9004304758613412,0,5691,false,500,1,0.6206798048686,0.9598607358584166,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n52,false,0.6737148955806253,0.9219078914931441,0,7200,false,500,0,0.8720173555187944,0.708859716393244,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n58,true,0.08288070538182779,0.8370395112446256,10,7200,false,0,0,0.699463614448839,0.7601824542617892,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n59,true,0.33387983566686535,0.6185075822701207,12,6784,false,415,2,0.5919149350998865,0.7381795607166244,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n64,false,0.013438176114695877,0.8627838671146082,0,7200,false,500,0,0.2614899722221703,0.5418666380998519,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n67,true,0.13609660694800063,0.7525473943077142,12,7200,false,0,0,0.021360505115272044,0.7511076302345607,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n68,false,0.6587576267765267,0.6056263970466423,0,6089,false,500,3,0.8131209013927272,0.9862876073582021,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n69,false,0.6874163682881853,0.7819191357609885,0,5939,false,500,1,0.4257922805828066,0.6335859706586742,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n71,false,0.08376295591269857,0.6019920881467663,0,7200,false,0,0,0.6485719021125951,0.8363772244808029,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n72,true,0.5386161285957717,0.4016578214052143,38,4392,false,14,4,0.4045720711987209,0.8469634725853292,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n74,true,0.6832868849028835,0.7165103715753426,11,7200,false,0,0,0.8197373010256191,0.6788876601211308,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n78,false,0.12338838524680905,0.478712513319442,0,5458,false,501,3,0.2258361918839898,0.7734101928362666,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n79,false,0.6383993262417489,0.6004096181639694,0,6540,false,500,2,0.6880535316605382,0.665956948103032,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n81,true,0.7497755503001199,0.7321933938818199,0,3590,false,500,2,0.5630282546801822,0.6280536178651954,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n82,false,0.9102540041447101,0.8239474237372855,0,2475,false,500,2,0.6889322255465605,0.4020031721611733,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n83,false,0.7888785898801588,0.8274306941219414,0,7200,false,0,0,0.4908958719341064,0.868974993855191,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n85,false,0.5635766229413818,0.8494161868308792,0,7200,false,500,0,0.6238893474039446,0.9154262457538457,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n90,false,0.43169745402957344,0.7502804335674818,0,7200,false,0,0,0.4070440752599414,0.5711136415716164,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n93,false,0.49964911962735664,0.8819623536357968,0,126,false,504,8,0.4505259966868007,0.3229522084554141,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n97,false,0.3862831348219449,0.8468264141597353,0,7200,false,0,0,0.6719920068839608,0.12407681276434118,null
11658770,31068642,676011,9832079,1150680,450680,225331,6362147,0,731271,419409,180101,270579,1924281,1770982,1381380,0,227229,504042,135963,283446,716851,30351791,236195,473570,7086,99529,136666,44699,54830,93133,43533,468474,5096,180266,288208,5096,0,350,6736,344,6,6736,0,12896971,17454820,4317969,8579002,7793538,9661282,n98,false,0.6109477989524107,0.7892489926504942,0,1656,false,501,2,0.8036535307374775,0.4898919017265134,null
