rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n10999,true,0.5757070575812726,0.3869714477280182,11,2900,false,0,0,0.9905713951322203,0.3976871163237939,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n23657,false,0.8713367696082218,0.4275750450659939,0,2800,false,500,1,0.7395579401459174,0.3526947479284238,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n10995,true,0.0026341188216282285,0.5830488428488914,11,2900,false,0,0,0.8681020942082842,0.3988857951384167,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n2953,false,0.21210736670289995,0.5900834162996196,0,664,false,500,4,0.7750647513404614,0.44805593345275735,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n6866,false,0.5938787692985076,0.6567736559678926,0,2900,false,0,0,0.7088450999962277,0.37049904695405234,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n2952,false,0.006895370940788146,0.8278540994361641,0,167,false,501,5,0.882034015873862,0.49389764135238756,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n533,false,0.5605884708561581,0.08299674691837255,0,1874,false,500,2,0.6585871633549898,0.2934740118156549,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n2954,false,0.10881432781957391,0.06586174306091264,0,2899,false,500,1,0.9697570228694153,0.7920082601345203,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n1825,false,0.9584773666610663,0.8767660166645467,0,2397,false,500,1,0.6798053753530141,0.6843678067428272,null
1528661,6562339,26706,1362512,139443,6735,19971,1003391,0,83807,55636,3147,3588,172806,206286,504186,0,24929,58878,21120,34516,922261,5640078,320610,600818,833,89827,230783,46834,42993,191817,38966,599211,1607,164086,435125,1607,0,1,832,1,0,832,0,1560577,4079501,433689,1126888,1634980,2444521,n539,false,0.5768693620390377,0.8267556077706586,0,2900,false,500,0,0.05819947768741074,0.3452539558579143,null
