id,isSmoker,willpower,health,smokedPerDay,stress,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
n0,true,0.9702562677744392,0.6614816167963197,0,0.42222349352106103,false,2,5,0.069995244458813,0.6889110976578137,null
n1,true,0.9559867458766065,0.9595883306856652,0,0.38355445784525566,false,54,9,0.7149200595898559,0.29057281380969313,null
n2,true,0.9681867005832263,0.9389715229134608,0,0.46054282419218207,false,52,5,0.34031126506444326,0.3291256509942945,null
n3,true,0.949983977103077,0.576792716104872,0,0.7389997195664032,false,54,9,0.8812145045440309,0.7017490284023458,null
n4,true,0.9854537179006118,0.5370989094392782,0,0.5653024124443312,false,50,1,0.36997701003641303,0.05966583768746925,null
n7,true,0.9865578740406618,0.8153211915694835,1,0.8212687608161986,false,50,1,0.9328691669407356,0.2052332954989079,null
n8,true,0.7210177631531021,0.8666868296830639,0,0.3427455439725913,false,4,8,0.7033858680461464,0.8994707647363013,null
n10,false,0.9953528616869095,0.6485060561481658,0,0.9622135978801869,false,51,2,0.6787329478992215,0.3880660251386636,null
n11,true,0.9775066773942802,0.4784711982061469,2,0.666244509633264,false,51,3,0.5413208716000171,0.86713364569303,null
n18,true,0.9777128605439134,0.6324409126840046,1,0.6868361090238709,false,51,4,0.5745508526731598,0.12600977958270387,null
n24,true,0.9897372373877837,0.5000708089951396,0,0.7470487134637527,false,50,1,0.4817294663763822,0.2951785303936361,null
n31,true,0.9872198609493471,0.5960967587169052,0,0.9408015870652349,false,51,3,0.909924022402529,0.3117744293693263,null
n32,true,0.9657130035080719,0.9388256454941836,2,0.49836824740526453,false,2,5,0.2685054355915173,0.41608337278263885,null
n33,true,0.969755143348694,0.9612398104281152,0,0.73925574341245,false,2,5,0.3438650422211022,0.08348560112418957,null
n36,true,0.957502220717767,0.6877994548253021,1,0.2840567314821296,false,3,7,0.5748884038268688,0.6229695323799318,null
n38,true,0.9669926104850579,0.6524211800957359,1,0.6472123825176808,false,53,7,0.3033484128072027,0.6465189944923418,null
n42,true,0.985884944766724,0.8222369302895542,0,0.40880120326557146,false,50,1,0.48772881822633607,0.6739094978688988,null
n43,true,0.9764895430754471,0.658397030399872,0,0.3457447617414318,false,52,6,0.5781092982777246,0.9038681310887013,null
n47,true,0.977048123479847,0.9164916096683928,11,0.0019938307545770417,false,1,3,0.09863912975704636,0.9611585037787435,null
n49,true,0.9781326407275864,0.585435209287072,0,0.7666218872532995,false,52,6,0.7873331896657378,0.5705821392457634,null
n52,true,0.9658082581144385,0.617697901464622,0,0.3540187434617331,false,52,5,0.7232007509055753,0.6742674817760024,null
n55,true,0.9892882879954916,0.7108590649580597,1,0.442365277656185,false,50,1,0.07739107098727804,0.23660244161776112,null
n57,true,0.9893997215531724,0.6903380392687619,0,0.22011158519314888,false,0,1,0.6956165162350725,0.5852337398929248,null
n60,true,0.9658735965855229,0.8724046326951548,0,0.4213687758362185,false,52,5,0.6432917063476948,0.19214246375306998,null
n63,true,0.9862916368572285,0.7222189125627232,0,0.6322170783894936,false,51,4,0.7808849998837808,0.7227985559356457,null
n75,true,0.9862657274729306,0.5252409113997784,1,0.13316204956166877,false,50,1,0.631358631906416,0.8723851785118393,null
n76,true,0.19016109428188605,0.7231125777206447,2,0.47652300545532694,false,0,0,0.9448022612667103,0.7323899815319372,null
n78,true,0.21421029113223436,0.947873450756949,0,0.3813500546973769,false,1,2,0.4012699512135629,0.188153695155456,null
n83,true,0.9673432424301608,0.8984177724316212,3,0.0958198638065414,false,2,5,0.25643015243795575,0.7180685361247151,null
n84,true,0.9852666261278211,0.7311525616800786,0,0.7283040764313744,false,50,1,0.42958352854891807,0.8412622087941759,null
n90,false,0.9989002899764567,0.8876026364889128,0,0.14683751566640302,false,51,2,0.47414316491369063,0.011827712402145862,null
n94,true,0.9757680952642812,0.8754561257135441,2,0.46880446770701734,false,1,3,0.5514413772093436,0.14156567455843344,null
n99,true,0.9561633750889137,0.6120619972851498,0,0.7861390482043296,false,3,7,0.6011591585421581,0.7377687508886354,null
n106,true,0.9604690572377266,0.5384095448664488,0,0.35860101890168583,false,53,9,0.5131418241353826,0.6846910509011075,null
