id,isSmoker,willpower,health,smokedPerDay,stress,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
n0,true,0.9979081127430085,0.746446853383712,0,0.0,false,72,46,0.4980477120012749,0.4450878813640151,null
n1,true,8.364650340616203E-27,0.7542458758323816,0,0.0,false,63,59,0.24486701391518495,0.219915457707192,null
n2,true,1.1235431320974664E-24,0.8003528173131926,0,0.0,false,46,55,0.4121270694795848,0.8972759475418117,null
n3,false,0.998896194772895,0.734053548110419,0,0.0,false,62,25,0.5144337102074323,0.07595471670217813,null
n4,true,0.9956673131192498,0.7797815630082817,0,0.0,false,70,50,0.3302299236162659,0.840575071327416,null
n6,true,3.8112239325842803E-35,0.8436641981430812,0,0.0,false,17,34,0.8462237315786152,0.7929599181749184,null
n9,true,8.79888861018128E-34,0.3467547303406848,0,0.0,false,21,42,0.6984883332339332,0.36557837127056514,null
n10,true,2.0875809406100372E-28,0.6052875139547479,0,0.0,false,21,43,0.6179265606682179,0.4620361204540254,null
n12,true,0.9960173045513354,0.46931172469547855,0,0.0,false,63,28,0.08411280914527236,0.5597288968719627,null
n13,false,0.9956559700844976,0.770227106546004,0,0.0,false,76,53,0.032908705347140965,0.05722521380729462,null
n15,true,1.640716607684412E-42,0.7453848249619409,0,0.0,false,24,48,0.3777788934913462,0.8952486235541306,null
n19,true,1.0199006397584067E-20,0.8660997797776264,0,0.0,false,51,44,0.025086569532347502,0.8345130043941151,null
n23,true,0.9978648790218397,0.6869305902518238,0,0.0,false,74,52,0.7357288745401944,0.6071228680604048,null
n26,true,0.9996738217697131,0.7283967725978981,0,0.0,false,66,37,0.8628953556936059,0.5069426793701881,null
n29,true,0.9989274558187304,0.6845589457431854,0,0.0,false,66,44,0.5402437750472555,0.7207749337085737,null
n35,true,1.856216614914704E-16,0.9640997661167149,0,0.0,false,63,36,0.06949560417371914,0.36943808839464876,null
n36,true,8.132004172533246E-41,0.6715736316996999,0,0.0,false,29,58,0.47895824116147556,0.47494003247339733,null
n37,false,0.9997185665018435,0.594046994672088,0,0.0,false,67,36,0.22258278951592947,0.9176479534733712,null
n39,false,0.9965970440275607,0.8209471485134687,0,0.0,false,64,30,0.6282187731189162,0.8741847330930175,null
n45,true,0.9954395660798386,0.5217542564532285,0,0.0,false,25,50,0.5718414816600195,0.5195569796655163,null
n46,true,3.2061333423059974E-44,0.5737464924266803,0,0.0,false,25,50,0.4548321788886257,0.8787689766806486,null
