id,isSmoker,willpower,health,smokedPerDay,stress,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
n0,true,0.9866702028771794,0.746446853383712,11,0.0,false,50,1,0.4980477120012749,0.4450878813640151,null
n1,true,0.9863810682279723,0.7542458758323816,11,0.0,false,0,1,0.24486701391518495,0.219915457707192,null
n2,true,0.9885553119648016,0.8003528173131926,4,0.0,false,50,1,0.4121270694795848,0.8972759475418117,null
n3,false,0.999208621942797,0.734053548110419,0,0.0,false,50,0,0.5144337102074323,0.07595471670217813,null
n4,true,0.8340027460413968,0.7797815630082817,2,0.0,false,1,2,0.3302299236162659,0.840575071327416,null
n6,true,0.456145715439533,0.8436641981430812,5,0.0,false,2,4,0.8462237315786152,0.7929599181749184,null
n9,true,0.9881600022458192,0.3467547303406848,2,0.0,false,50,2,0.6984883332339332,0.36557837127056514,null
n10,true,0.9883728523286741,0.6052875139547479,5,0.0,false,50,1,0.6179265606682179,0.4620361204540254,null
n12,true,0.9687575853239256,0.46931172469547855,4,0.0,false,52,5,0.08411280914527236,0.5597288968719627,null
n13,true,0.8103430665531083,0.770227106546004,10,0.0,false,3,5,0.032908705347140965,0.05722521380729462,null
n15,true,0.28853047091315265,0.7453848249619409,14,0.0,false,2,1,0.3777788934913462,0.8952486235541306,null
n19,true,0.9898451603138192,0.8660997797776264,2,0.0,false,50,1,0.025086569532347502,0.8345130043941151,null
n23,true,0.9672840876999821,0.6869305902518238,2,0.0,false,2,5,0.7357288745401944,0.6071228680604048,null
n26,true,0.9760888360712218,0.7283967725978981,3,0.0,false,1,3,0.8628953556936059,0.5069426793701881,null
n29,true,0.9858529531212439,0.6845589457431854,0,0.0,false,0,1,0.5402437750472555,0.7207749337085737,null
n35,true,0.9855600474534999,0.9640997661167149,0,0.0,false,0,1,0.06949560417371914,0.36943808839464876,null
n36,true,0.9796622280142016,0.6715736316996999,6,0.0,false,1,3,0.47895824116147556,0.47494003247339733,null
n37,true,0.9862883065559745,0.594046994672088,1,0.0,false,0,1,0.22258278951592947,0.9176479534733712,null
n39,false,0.9972078845366645,0.8209471485134687,0,0.0,false,0,0,0.6282187731189162,0.8741847330930175,null
n45,true,0.9759004972324132,0.5217542564532285,3,0.0,false,51,4,0.5718414816600195,0.5195569796655163,null
n46,true,0.9887439504166361,0.5737464924266803,2,0.0,false,0,1,0.4548321788886257,0.8787689766806486,null
n47,true,0.9772432618781859,0.6467698614541888,0,0.0,false,51,3,0.2790971915137339,0.9147152123803776,null
n49,true,0.23076150017297847,0.7182334817296608,5,0.0,false,0,0,0.3207904885745507,0.863332926291588,null
n51,true,0.14146964317769176,0.9004304758613412,11,0.0,false,2,4,0.6206798048686,0.9598607358584166,null
n52,true,0.9800189219770838,0.9219078914931441,3,0.0,false,51,3,0.8720173555187944,0.708859716393244,null
n58,false,0.997133833984785,0.8370395112446256,0,0.0,false,51,3,0.699463614448839,0.7601824542617892,null
n59,true,0.9852517819838773,0.6185075822701207,11,0.0,false,0,1,0.5919149350998865,0.7381795607166244,null
n64,true,0.012792111708438497,0.8627838671146082,1,0.0,false,2,5,0.2614899722221703,0.5418666380998519,null
n67,true,0.13473564087852063,0.7525473943077142,6,0.0,false,1,2,0.021360505115272044,0.7511076302345607,null
n68,true,0.9784315356171547,0.6056263970466423,2,0.0,false,51,4,0.8131209013927272,0.9862876073582021,null
n69,true,0.9880301369192195,0.7819191357609885,11,0.0,false,50,1,0.4257922805828066,0.6335859706586742,null
n71,false,0.9957660421643131,0.6019920881467663,0,0.0,false,51,2,0.6485719021125951,0.8363772244808029,null
n72,true,0.538599970488938,0.4016578214052143,12,0.0,false,0,0,0.4045720711987209,0.8469634725853292,null
n74,true,0.9873030604280835,0.7165103715753426,5,0.0,false,50,1,0.8197373010256191,0.6788876601211308,null
n78,true,0.1203310535226472,0.478712513319442,3,0.0,false,1,2,0.2258361918839898,0.7734101928362666,null
n79,true,0.9888577083971379,0.6004096181639694,7,0.0,false,0,1,0.6880535316605382,0.665956948103032,null
n81,false,0.9982277369639139,0.7321933938818199,0,0.0,false,51,2,0.5630282546801822,0.6280536178651954,null
n82,true,0.9565061536097222,0.8239474237372855,4,0.0,false,3,7,0.6889322255465605,0.4020031721611733,null
n83,true,0.9291955562901076,0.8274306941219414,0,0.0,false,21,1,0.4908958719341064,0.868974993855191,null
n85,true,0.9887422706958636,0.8494161868308792,12,0.0,false,50,1,0.6238893474039446,0.9154262457538457,null
n90,true,0.40278535701154666,0.7502804335674818,2,0.0,false,3,7,0.4070440752599414,0.5711136415716164,null
n93,true,0.9759164144942379,0.8819623536357968,4,0.0,false,1,3,0.4505259966868007,0.3229522084554141,null
n97,false,0.9952002160674991,0.8468264141597353,0,0.0,false,0,0,0.6719920068839608,0.12407681276434118,null
n98,true,0.9874138780370273,0.7892489926504942,0,0.0,false,51,3,0.8036535307374775,0.4898919017265134,null
n99,false,0.9951432631013555,0.784486263677895,0,0.0,false,51,2,0.2979643236552203,0.2466145981396456,null
n101,true,0.9886563748008015,0.8403535645869011,3,0.0,false,50,2,0.5713281795027747,0.4819985926331248,null
n104,true,0.19128995333087517,0.5570383213103326,4,0.0,false,1,2,0.8082102153706929,0.7304395123141707,null
n106,true,0.9862557351246294,0.7207330921892959,0,0.0,false,50,1,0.705003003418724,0.21054606519202523,null
n108,true,0.9869216252449687,0.6064492377102099,2,0.0,false,0,1,0.5514673522817798,0.57545959427789,null
n109,true,0.9669524565993246,0.2402020479086055,5,0.0,false,52,5,0.6475046204579276,0.979370823659142,null
n110,true,0.9895824916688025,0.9039722062269651,0,0.0,false,50,3,0.07690915151162742,0.7440791260259967,null
n112,true,0.987458392462067,0.40834798267359884,3,0.0,false,50,1,0.395647616894663,0.5891533792028143,null
n113,true,0.9870289273904982,0.691971859770808,0,0.0,false,51,3,0.4929503034386753,0.6472497122110819,null
n114,true,0.9881309895375463,0.5933455374211352,0,0.0,false,0,1,0.5688326549002459,0.2756575275402212,null
n115,true,0.9799121870977788,0.3888643439595747,4,0.0,false,51,3,0.8846642058732026,0.5237067581714819,null
n117,true,0.5647894621539011,0.7167310756316366,0,0.0,false,2,4,0.863532584356759,0.768552444625526,null
n121,true,0.9879482822413057,0.6036293520550661,2,0.0,false,51,3,0.1497983521568953,0.7592657863730822,null
n124,true,0.9684490293723852,0.6338508720290849,6,0.0,false,52,5,0.39767122810870925,0.9101305824456051,null
n127,true,0.28275966878808423,0.9334767532152317,20,0.0,false,0,0,0.598427768080452,0.8086141808077997,null
n130,true,0.9867520530673004,0.7382616363824968,0,0.0,false,50,3,0.7959584898293577,0.5458505287557109,null
n136,true,0.12644471846886612,0.5939075681502801,21,0.0,false,0,0,0.3344253746917968,0.4609477386316378,null
n137,true,0.6748261787469205,0.7246796747413721,13,0.0,false,1,3,0.7787183713553759,0.7778141439083079,null
n139,true,0.9876705429980802,0.7335778942691583,10,0.0,false,50,1,0.5661933212431788,0.8512187503031523,null
n141,true,0.9782590159425031,0.6781016754125846,0,0.0,false,1,3,0.43196456512351344,0.8608105690972766,null
n148,true,0.9891331642655931,0.6152142051220261,6,0.0,false,50,1,0.9651445960508905,0.6299370951628419,null
n150,false,0.9969308296513125,0.7131649234345382,0,0.0,false,51,2,0.9404931917302273,0.7035212465165157,null
n151,true,0.9854213047296534,0.868087879135263,0,0.0,false,50,1,0.7909549863827744,0.4226321701482397,null
n153,true,0.9856161082743884,0.6336238190059695,7,0.0,false,50,4,0.025628627299344453,0.42343227646712445,null
n154,true,0.9879284405091581,0.9706319061825381,0,0.0,false,50,2,0.7166176687815751,0.9811283071950951,null
n157,true,0.9891789483089843,0.595932966176092,2,0.0,false,50,1,0.7033557246743999,0.7510697078820116,null
n158,false,0.9986854656171827,0.7645508254541954,0,0.0,false,51,2,0.7162644704045361,0.8835703650000867,null
n161,true,0.9664309305366925,0.47226567897086125,2,0.0,false,2,5,0.1316710752103265,0.9050095587403939,null
n163,false,0.9979588111364779,0.7489135928971173,0,0.0,false,50,1,0.2140690776486167,0.15869644037489644,null
n167,false,0.9980275622279037,0.7375754386740828,0,0.0,false,50,1,0.6192302946389512,0.6238976391553575,null
n168,true,0.9427711670996867,0.6088493408210847,5,0.0,false,0,1,0.46741760078626593,0.5194599134568705,null
n170,false,0.9955090289310728,0.7177189936837826,0,0.0,false,0,0,0.8126986984193354,0.9111360767679508,null
n172,true,0.9771913300952799,0.9315584112436645,0,0.0,false,53,7,0.261493446183713,0.8071011366034051,null
n174,false,0.9964210482714048,0.5573829530321894,0,0.0,false,0,0,0.4349774000994868,0.7954005562218402,null
n176,false,0.9977421958690802,0.7503582318946748,0,0.0,false,0,0,0.9957121331025487,0.8117237950892882,null
n178,false,0.9996943382315947,0.540409132455768,0,0.0,false,0,0,0.6344599719639775,0.9109360853305051,null
n183,false,0.9999325528083439,0.6997947466643422,0,0.0,false,51,3,0.5753104580692182,0.2667815776694297,null
n186,true,0.1795503182682124,0.801810552382351,0,0.0,false,3,6,0.6914646955048919,0.8676621105005713,null
n187,true,0.9762431753486281,0.7299725820402092,1,0.0,false,1,3,0.9435075854724065,0.996479824120139,null
n192,true,0.08178080095209746,0.795564820313654,3,0.0,false,2,4,0.4194008206841798,0.15705770993806306,null
n195,true,0.2710936728548197,0.6506248331743213,2,0.0,false,2,3,0.767920293123665,0.661759117331954,null
n197,true,0.9877393307955736,0.7578298016468364,2,0.0,false,50,1,0.2952218585253107,0.6123248704876079,null
n198,true,0.9769646806357988,0.4890071300038665,5,0.0,false,51,3,0.3478973685911496,0.7669975215468358,null
n200,true,0.9799442791820726,0.6023083280304857,4,0.0,false,51,3,0.6279930827862918,0.43390604704034935,null
n202,false,0.9990031563675826,0.7796295084132034,0,0.0,false,0,0,0.40464591648254783,0.8071594740462449,null
n205,true,0.9893553678788508,0.571624199551256,5,0.0,false,50,1,0.28516408361563944,0.5656072576613492,null
n207,true,0.9586759255350761,0.5943895408776785,2,0.0,false,3,7,0.463160793970215,0.34576316662700657,null
n209,true,0.07930059960701094,0.7883799733633858,11,0.0,false,1,2,0.18215657338581842,0.7979024316103456,null
n212,false,0.9972642032148593,0.4996179180729481,0,0.0,false,50,2,0.4421610701477784,0.45666288107939224,null
n213,true,0.9856896750053725,0.7272096045431524,0,0.0,false,50,2,0.3167115244812542,0.46801843104195817,null
n214,true,0.9855543772020248,0.995327637240273,0,0.0,false,51,5,0.5680709202144114,0.5782064854281296,null
n221,true,0.9864522665331722,0.6910428824507778,3,0.0,false,50,2,0.47018706790290127,0.7147341521778727,null
n223,false,0.9971066639033789,0.5287369548935528,0,0.0,false,50,1,0.4896185430966292,0.8926495491722207,null
n224,true,0.9658028887337766,0.5396115717579084,2,0.0,false,52,5,0.2625327684801415,0.5849121614082887,null
n225,true,0.3133762480327021,0.6124868021673884,2,0.0,false,2,4,0.22945813495872752,0.9757748446350221,null
n227,true,0.9860638543255368,0.7896774116219453,12,0.0,false,0,1,0.5890693253033549,0.627611914809818,null
n231,true,0.9381456211617116,0.9050642525170385,11,0.0,false,5,11,0.4529939738000774,0.38190564961263385,null
n232,true,0.5661755074122254,0.5435993214132495,15,0.0,false,2,4,0.4021808997619318,0.5073988640904806,null
n236,true,0.9858964475192201,0.38396579246806417,0,0.0,false,51,3,0.06806374590669867,0.3602979664907451,null
n240,false,0.9959507347196258,0.8526409944401955,0,0.0,false,50,0,0.36281939132043617,0.6030613056562107,null
n242,false,0.9980989497708983,0.6361630201016543,0,0.0,false,0,0,0.4769598650307638,0.2523504264099077,null
n244,true,0.98660554780018,0.5962337191377807,0,0.0,false,50,2,0.5391706996690498,0.6957862544178423,null
n246,true,0.9759247213465652,0.5308132096526339,4,0.0,false,51,3,0.3450737915319737,0.5408514262115841,null
n247,true,0.5395565215779763,0.6576163730516773,2,0.0,false,1,2,0.965025036416464,0.6938812195351587,null
n250,true,0.9656753396406936,0.6634008959898412,0,0.0,false,52,7,0.1587482167829723,0.3395673089837816,null
n254,true,0.9771194495659837,0.5794189470826695,4,0.0,false,51,4,0.5655834234255578,0.3783375348860447,null
n255,false,0.996969420363056,0.5301155513921446,0,0.0,false,0,0,0.7011034624275012,0.7848850197915525,null
n256,true,0.9850954873216838,0.4161437474214315,5,0.0,false,0,1,0.727854367258614,0.788088845537155,null
n261,true,0.9893457119525245,0.698104548986913,0,0.0,false,50,2,0.945734526325325,0.14614461731947392,null
n266,false,0.995179024935519,0.959338157481257,0,0.0,false,51,2,0.9045230536450523,0.6649659142847693,null
n267,true,0.2026251972108479,0.5922577640676502,2,0.0,false,2,1,0.6315056619344931,0.2858134242182867,null
n273,true,0.42335276264644756,0.8826869090512035,11,0.0,false,1,1,0.34419848249222684,0.7925193632313947,null
n274,true,0.49543106868637976,0.7685404778219884,11,0.0,false,1,2,0.2156739952399951,0.7055876013285065,null
n275,true,0.9776457400730443,0.562392135157726,0,0.0,false,52,5,0.13277611537062017,0.9628014497612124,null
n276,true,0.9689059910293797,0.8338031149395346,0,0.0,false,52,6,0.7413042541696848,0.4658740743927722,null
n278,true,0.9868413066349297,0.48588110173202276,8,0.0,false,50,1,0.4494597952686611,0.19242134630556185,null
n279,false,0.9972956161695278,0.7688647347118855,0,0.0,false,50,0,0.183842715616215,0.4102871748950908,null
n283,true,0.4498189157848975,0.450726580891438,13,0.0,false,0,1,0.780456243568221,0.7846781651017639,null
n287,true,0.6390746869962691,0.5331199352011853,13,0.0,false,0,0,0.5588548837466345,0.6053854003899061,null
n289,true,0.9851236431315025,0.846114532927343,0,0.0,false,51,5,0.39408663982984365,0.269046345004881,null
n290,false,0.9958175979570568,0.5655229474433465,0,0.0,false,50,1,0.09066755739106247,0.9616216583436319,null
n291,true,0.07301130694871288,0.8319703408322697,2,0.0,false,6,9,0.5206758150249008,0.39327544936389913,null
n295,true,0.9887867750704001,0.6454183031847034,4,0.0,false,0,1,0.23294950864550046,0.561385513110991,null
n296,false,0.9973442194039724,0.5924580040128327,0,0.0,false,52,5,0.7820749513680019,0.5162290791393496,null
n297,true,0.9891671137838511,0.5298737025377699,4,0.0,false,0,1,0.03676210114308193,0.8747297387271331,null
n298,true,0.07829798999725232,0.752014927638804,13,0.0,false,1,3,0.3703565208530286,0.865860628078848,null
n303,true,0.9874964297660036,0.6516628179752664,0,0.0,false,51,3,0.4407637917839315,0.9294349803125972,null
n307,true,0.9659711394630351,0.3932790360621328,7,0.0,false,2,5,0.739234984614906,0.6609815375068789,null
n311,true,0.43095035681425814,0.9133639639773894,0,0.0,false,1,2,0.7002130698787379,0.7397362978758772,null
n312,true,0.9763040620524078,0.678390923781159,0,0.0,false,51,4,0.657358225520886,0.5773371047649191,null
n315,true,0.14884393346612676,0.9456063978248889,0,0.0,false,1,2,0.12302848716406595,0.653271628349095,null
n319,true,0.9893857326724848,0.7083825610144212,1,0.0,false,50,6,0.39115814077571165,0.8581224301094004,null
n322,true,0.1772098433841114,0.8990299340568311,11,0.0,false,2,3,0.008806342633513653,0.7737546257680542,null
n323,true,0.9865883164721148,0.4909576023895596,11,0.0,false,50,3,0.5175647152534532,0.9612104030901678,null
n328,true,0.9792247882785045,0.46833253568734123,4,0.0,false,1,3,0.5107648450418514,0.9873021601539053,null
n330,true,0.9787030213060548,0.5594476565784882,5,0.0,false,51,4,0.03008456100742829,0.7393944226131263,null
n334,true,0.5344110361154257,0.873983048119277,13,0.0,false,0,1,0.29331151023406726,0.945055689727362,null
n336,true,0.6733740194590527,0.7519137880499579,19,0.0,false,0,0,0.4821586169273337,0.6774344919852218,null
n340,true,0.9898384365123946,0.6077895963277195,0,0.0,false,0,1,0.44160629495144077,0.710502570956199,null
n342,true,0.9861921294933609,0.6542201326168098,0,0.0,false,50,1,0.7933625137102159,0.5917813313127359,null
n346,true,0.9760730935321773,0.9626397696358517,11,0.0,false,51,3,0.031045487605653843,0.18465385732483502,null
n347,true,0.9696504089936362,0.7992117418523728,3,0.0,false,52,5,0.8478211961945646,0.4238704331501578,null
n350,true,0.4348032551298298,0.7294720222379705,11,0.0,false,0,1,0.5004653837328762,0.8561535380715988,null
n351,true,0.9790677112156947,0.904691036616672,0,0.0,false,51,5,0.13536365905467113,0.967159802994153,null
n361,true,0.9861184913844325,0.6737966548988231,1,0.0,false,50,1,0.4407533618060482,0.8800053754391355,null
n363,true,0.04637071080614863,0.5255898259401581,13,0.0,false,0,0,0.39389963484522916,0.9360260461656795,null
n367,true,0.979074609037808,0.8129051166756505,11,0.0,false,1,3,0.04422265809902687,0.4055985167976581,null
n371,true,0.26143387352566033,0.8476777053972349,15,0.0,false,1,3,0.5686637933203663,0.6548516707600839,null
n372,true,0.731042701263189,0.7983510348524812,14,0.0,false,0,0,0.4755349088779074,0.8300201312969053,null
n373,true,0.9960140504340044,0.8119735235643616,21,0.0,false,0,0,0.5122104033885687,0.4531288432264805,null
n377,false,0.9988574357875849,0.744514158246841,0,0.0,false,50,1,0.6875367197314719,0.7404307214260434,null
n378,true,0.9893379409717864,0.9232498255658972,11,0.0,false,0,1,0.43750588231382503,0.9820008046591631,null
n387,true,0.14845334799357657,0.8079335556694368,10,0.0,false,0,0,0.3528288190489358,0.5299489764819828,null
n390,true,0.9764884053250699,0.671377803731401,4,0.0,false,1,3,0.6273604041205494,0.6649164965187703,null
n395,true,0.9851427948938946,0.5218706832248254,0,0.0,false,50,2,0.3418245795173784,0.5415687118872972,null
n398,true,0.9867716566365404,0.6637146883829768,7,0.0,false,50,1,0.6742916019168679,0.5627494537735184,null
n399,true,0.9888583862706134,0.46650327628919486,3,0.0,false,50,1,0.3732258806630647,0.9666404649004724,null
n403,true,0.07045599908818674,0.8234796073242043,5,0.0,false,3,7,0.6295804581442878,0.8582870284428741,null
n406,false,0.9966877075730225,0.6401158774794073,0,0.0,false,50,1,0.4415077672480725,0.7685105032989805,null
n414,true,0.22252155444515692,0.706651275171924,4,0.0,false,3,4,0.8945329529408046,0.7624545159794143,null
n415,true,0.9864899964964309,0.6538915357345602,0,0.0,false,50,2,0.6921674531059644,0.9132789451279076,null
n417,true,0.9854493168273168,0.5639324765740248,4,0.0,false,50,1,0.6186619279972331,0.2459808741378527,null
n419,true,0.3196480150713141,0.7084358076325086,4,0.0,false,0,1,0.2751682603121339,0.9548368462643653,null
n422,false,0.9967530730356926,0.5864579925517522,0,0.0,false,50,0,0.8219266783910335,0.40422967103830754,null
n424,true,0.8323624553626221,0.9814777463888431,12,0.0,false,1,2,0.5017057861531299,0.6026100497194137,null
n425,false,0.999053022341404,0.5114945832241089,0,0.0,false,50,2,0.7408332559575208,0.43252071092805666,null
n429,false,0.9987174664319906,0.4536248465245639,0,0.0,false,50,2,0.19767999684901472,0.34085162042354206,null
n432,false,0.9955857940192225,0.8759579473252637,0,0.0,false,50,7,0.11968968182860434,0.37723872181405765,null
n433,true,0.9794480785074275,0.6952432207875855,6,0.0,false,51,3,0.5358164111396453,0.8307030426977562,null
n434,true,0.978464274840386,0.7288342441868327,11,0.0,false,1,3,0.35375159735361994,0.8967582543775952,null
n437,true,0.1157316439804252,0.910993071766485,13,0.0,false,0,1,0.2502067190159453,0.9262868619785822,null
n439,true,0.9899475977356536,0.4402111894418519,7,0.0,false,50,1,0.8773506243957976,0.8000991151358952,null
n444,true,0.29399063320705254,0.7492556174045889,4,0.0,false,1,3,0.41966039163716246,0.8395254988764946,null
n448,false,0.9977109064356323,0.8964322267424065,0,0.0,false,50,2,0.7942598103901766,0.7367830698762994,null
n449,true,0.9879939748669989,0.6173509581597424,5,0.0,false,50,2,0.618149678362371,0.5439006749772742,null
n450,true,0.9899878057175449,0.8931142570999754,4,0.0,false,0,1,0.0921529083803036,0.9915807051696696,null
n452,false,0.9969331584973445,0.8801651797218486,0,0.0,false,50,0,0.9936093892141393,0.3681177685012683,null
n456,false,0.9974254281167168,0.6230088586189735,0,0.0,false,50,0,0.339675029145616,0.9308195084121298,null
n458,true,0.9867602147443616,0.7524326126359113,1,0.0,false,50,2,0.6154885954809874,0.2595857055848828,null
