rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,3,true,0.15826281528985475,0.8515406997007949,21,0,false,0,0,0.638767389152811,0.7920394245793989,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,7,false,0.5167809172601072,0.04451591811403377,0,0,true,0,0,0.9180629536653742,0.8278791106163961,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,51,true,0.6000249144216467,0.2583976066601494,19,0,false,0,0,0.5976280036946083,0.05963744910394064,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,52,true,0.45522312404420645,0.5948680631600746,12,0,false,0,0,0.43586425874114154,0.9910734119631649,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,53,true,0.26900049554661687,0.8124472044420608,11,0,false,0,0,0.8662144016029438,0.2713317923797858,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,54,true,0.899414920116736,0.813851068550626,12,0,false,0,0,0.9625025086674046,0.7207213161632647,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,55,false,0.9847181447494744,0.3987917859573267,0,0,true,0,0,0.9753723964737911,0.7269183252535755,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,56,false,0.9817213086956205,0.9295801526779492,0,0,true,0,0,0.7722204078023732,0.9997166465843077,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,57,false,0.7316618565160536,0.26693843857682376,0,0,false,0,0,0.5821752685717171,0.4474124204918113,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,58,false,0.9149197441800774,0.6371807134801021,0,0,false,0,0,0.24726011986508623,0.8074917213188769,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,59,false,0.7783491250739641,0.16770394306749992,0,0,true,0,0,0.9407952408629703,0.07846644410601444,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,60,false,0.9321296108599364,0.86156943639514,0,0,true,0,0,0.9254025624135082,0.7530646805200185,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,61,true,0.013865771687371797,0.3516723658142465,5,0,false,0,0,0.7215606573713368,0.7755781198968303,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,62,true,0.04917773106559453,0.40727898019335074,12,0,false,0,0,0.3276081855604821,0.5730661811679442,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,63,false,0.05763625431193653,0.9768462783865703,0,0,true,0,0,0.9522778946417272,0.6777322843611429,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,64,false,0.03325247023468081,0.7821153167630258,0,0,false,0,0,0.7506796977258874,0.5263102589333779,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,65,false,0.5510855897953842,0.131325210983265,0,0,false,0,0,0.8031743369800699,0.9352697870267743,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,66,false,0.5990748282065604,0.6521221228060053,0,0,true,0,0,0.9646619062823523,0.9436957435157809,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,67,false,0.8898067200219516,0.6172167631380463,0,0,true,0,0,0.6218551189066883,0.40960505170814404,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,68,true,0.35828184466715984,0.5685649913255668,12,0,false,0,0,0.831273195039453,0.8990512369671033,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,69,true,0.7228244801006164,0.45967293679046617,21,0,false,0,0,0.5822540095978213,0.9802514640923072,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,70,false,0.966226074113466,0.8700430340009404,0,0,true,0,0,0.5979281229259343,0.2644493943883287,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,71,false,0.48945214118507435,0.6425367433394398,0,0,true,0,0,0.7982073339249669,0.595371296925344,null
426404,1306852,23363,390535,12506,4861,18502,343446,0,8112,4394,4742,119,34745,30846,52570,0,6337,1775,174,4220,120183,1186669,46851,73318,14,20873,25978,10897,9976,15449,10529,73306,12,36738,36568,12,0,0,14,0,0,14,0,598159,588510,144501,453658,263435,325075,72,false,0.7042642920283557,0.38166020010925206,0,0,true,0,0,0.5842061100344761,0.017174605252049835,null
