rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,3,false,0.17575421525659973,0.8515406997007949,0,7425,false,504,9,0.638767389152811,0.7920394245793989,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,7,false,0.6002392213078751,0.04451591811403377,0,2219,false,505,10,0.9180629536653742,0.8278791106163961,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,51,false,0.661950438813247,0.2583976066601494,0,16397,false,500,1,0.5976280036946083,0.05963744910394064,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,52,false,0.48698695877100207,0.5948680631600746,0,15393,false,500,1,0.43586425874114154,0.9910734119631649,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,53,true,0.29568738031833763,0.8124472044420608,11,1522,false,501,4,0.8662144016029438,0.2713317923797858,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,54,false,0.9918322340873058,0.813851068550626,0,10176,false,500,1,0.9625025086674046,0.7207213161632647,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,55,false,0.9999950964295287,0.3987917859573267,0,5752,false,504,8,0.9753723964737911,0.7269183252535755,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,56,false,0.9999970967869409,0.9295801526779492,0,1450,false,503,8,0.7722204078023732,0.9997166465843077,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,57,false,0.8044573800886661,0.26693843857682376,0,2721,false,502,8,0.5821752685717171,0.4474124204918113,null
1750284,4115520,195768,1520701,33815,60392,135376,1156391,0,17975,15840,51232,9160,309929,189757,157918,0,11945,6030,2334,13506,210025,3905495,75909,133979,137,31886,44023,17305,14581,24419,19604,131759,2220,59896,71863,2220,0,0,137,0,0,137,0,1924753,1980742,512154,1412599,821652,1159090,58,false,0.9533729252838157,0.6371807134801021,0,375,false,501,4,0.24726011986508623,0.8074917213188769,null
