rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n0,true,0.8239728779981444,0.746446853383712,0,527,false,108,19,0.4980477120012749,0.4450878813640151,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n1,false,0.14750758079317655,0.7542458758323816,0,15946,false,100,3,0.24486701391518495,0.219915457707192,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n2,false,0.6300385567075896,0.8003528173131926,0,1224,false,106,14,0.4121270694795848,0.8972759475418117,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n3,false,0.007362966698040152,0.734053548110419,0,16000,false,0,0,0.5144337102074323,0.07595471670217813,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n4,true,0.8685428114109642,0.7797815630082817,0,142,false,111,26,0.3302299236162659,0.840575071327416,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n6,true,0.510710307550732,0.8436641981430812,0,2112,false,105,11,0.8462237315786152,0.7929599181749184,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n9,true,0.46332892015758803,0.3467547303406848,0,1628,false,105,13,0.6984883332339332,0.36557837127056514,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n10,false,0.4369258122094336,0.6052875139547479,0,1316,false,106,17,0.6179265606682179,0.4620361204540254,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n12,false,0.876733924661555,0.46931172469547855,0,635,false,104,9,0.08411280914527236,0.5597288968719627,null
9902965,10873035,7946331,1631494,325140,7723328,223003,742667,903,258705,66435,4343846,3379482,164082,58921,85046,0,212444,46261,41219,25216,79867,10793168,11630,41750,26487,3346,8284,950,2396,5984,2300,30448,11302,10327,20121,11302,0,581,25906,365,216,25906,0,2722865,8070303,759971,1962894,8070303,0,n13,true,0.8285178352239935,0.770227106546004,0,360,false,108,18,0.032908705347140965,0.05722521380729462,null
