rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n0,true,0.8065756720017632,0.746446853383712,0,5901,false,109,20,0.4980477120012749,0.4450878813640151,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n1,false,0.14749725561653101,0.7542458758323816,0,9534,false,100,28,0.24486701391518495,0.219915457707192,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n2,false,0.6389210845770371,0.8003528173131926,0,1431,false,111,23,0.4121270694795848,0.8972759475418117,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n3,true,0.0075966151903742556,0.734053548110419,0,2203,false,108,18,0.5144337102074323,0.07595471670217813,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n4,false,0.8683343867560845,0.7797815630082817,0,442,false,110,33,0.3302299236162659,0.840575071327416,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n6,false,0.4996873609381347,0.8436641981430812,0,86,false,109,39,0.8462237315786152,0.7929599181749184,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n9,false,0.46762522153904595,0.3467547303406848,0,144,false,109,22,0.6984883332339332,0.36557837127056514,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n10,false,0.42283565389141586,0.6052875139547479,0,1124,false,106,23,0.6179265606682179,0.4620361204540254,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n12,false,0.8787263610926119,0.46931172469547855,0,934,false,108,24,0.08411280914527236,0.5597288968719627,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n13,false,0.8302097282925833,0.770227106546004,0,780,false,110,21,0.032908705347140965,0.05722521380729462,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n15,false,0.2857737377553961,0.7453848249619409,0,6122,false,100,33,0.3777788934913462,0.8952486235541306,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n19,false,0.5773352435806163,0.8660997797776264,0,824,false,103,24,0.025086569532347502,0.8345130043941151,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n23,true,0.3284300507437642,0.6869305902518238,0,79,false,126,53,0.7357288745401944,0.6071228680604048,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n26,true,0.641486881530465,0.7283967725978981,0,1349,false,112,26,0.8628953556936059,0.5069426793701881,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n29,true,0.02822949067343497,0.6845589457431854,0,483,false,109,26,0.5402437750472555,0.7207749337085737,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n35,false,0.09416814671210263,0.9640997661167149,0,23699,false,100,1,0.06949560417371914,0.36943808839464876,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n36,false,0.4841891560821852,0.6715736316996999,0,1811,false,106,36,0.47895824116147556,0.47494003247339733,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n37,true,0.7323885799328029,0.594046994672088,0,866,false,103,58,0.22258278951592947,0.9176479534733712,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n39,false,0.8702077235316333,0.8209471485134687,0,2155,false,116,33,0.6282187731189162,0.8741847330930175,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n45,true,0.520493959993552,0.5217542564532285,0,540,false,122,51,0.5718414816600195,0.5195569796655163,null
2554278,2090726,1841832,610540,101906,1780683,61149,294248,322,73898,28008,1038095,742588,49822,11327,41402,0,64321,9577,19898,8110,20281,2070445,2383,9669,8229,670,1713,167,503,1423,290,7168,2501,2399,4769,2501,0,192,8037,190,2,8037,0,465135,1605310,111731,353404,1605310,0,n46,true,0.1250303111537076,0.5737464924266803,0,70,false,128,57,0.4548321788886257,0.8787689766806486,null
