rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n0,false,0.8347877903999541,0.746446853383712,0,8103,false,501,4,0.4980477120012749,0.4450878813640151,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n1,true,0.152584631148873,0.7542458758323816,12,5672,false,500,1,0.24486701391518495,0.219915457707192,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n2,false,0.6615269840830528,0.8003528173131926,0,19800,false,0,0,0.4121270694795848,0.8972759475418117,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n3,false,0.008139204388365634,0.734053548110419,0,8045,false,501,3,0.5144337102074323,0.07595471670217813,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n4,true,0.8463534038889801,0.7797815630082817,11,18389,false,0,1,0.3302299236162659,0.840575071327416,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n6,false,0.5504918449099474,0.8436641981430812,0,19800,false,500,0,0.8462237315786152,0.7929599181749184,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n9,false,0.4711361554462066,0.3467547303406848,0,8018,false,501,3,0.6984883332339332,0.36557837127056514,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n10,false,0.46613863588259447,0.6052875139547479,0,12677,false,501,3,0.6179265606682179,0.4620361204540254,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n12,true,0.8729022467302371,0.46931172469547855,13,19800,false,0,0,0.08411280914527236,0.5597288968719627,null
17729275,50987737,1441878,13870408,2416989,1100960,340918,8964674,0,1573117,843872,405062,695898,2741799,2504853,2084935,0,587685,985432,269954,573918,1095251,49892486,298087,784650,12514,121709,176378,53305,68404,118107,58271,774179,10471,302701,471478,10471,0,1822,10692,1318,504,10692,0,21800638,28091848,7412801,14387837,12323185,15768663,n13,false,0.8318634823226396,0.770227106546004,0,16115,false,501,3,0.032908705347140965,0.05722521380729462,null
