rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n0,false,0.8324286915309926,0.746446853383712,0,895,false,23,33,0.4980477120012749,0.4450878813640151,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n1,false,0.14895429588543418,0.7542458758323816,0,1080,false,25,40,0.24486701391518495,0.219915457707192,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n2,false,0.6506818785411466,0.8003528173131926,0,395,false,24,29,0.4121270694795848,0.8972759475418117,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n3,false,0.007437485959320018,0.734053548110419,0,326,false,29,47,0.5144337102074323,0.07595471670217813,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n4,true,0.8711958972716686,0.7797815630082817,0,123,false,25,37,0.3302299236162659,0.840575071327416,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n6,true,0.5204440661598125,0.8436641981430812,0,803,false,29,41,0.8462237315786152,0.7929599181749184,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n9,true,0.4639687521116642,0.3467547303406848,0,441,false,19,26,0.6984883332339332,0.36557837127056514,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n10,false,0.4387954647277623,0.6052875139547479,0,630,false,25,30,0.6179265606682179,0.4620361204540254,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n12,true,0.8779534258130862,0.46931172469547855,0,109,false,26,34,0.08411280914527236,0.5597288968719627,null
3784076,1625328,3181751,512382,89943,3124528,57223,184308,318,76832,13111,1374547,1749981,32082,25141,14496,0,60814,16018,6625,6486,5342,1619986,418,1331,3593,154,264,62,92,205,59,571,760,114,457,760,0,41,3552,11,30,3552,0,422027,1197959,88478,333549,400708,797251,n13,true,0.8306498537047997,0.770227106546004,0,736,false,26,33,0.032908705347140965,0.05722521380729462,null
