rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n0,true,0.7915775199377437,0.746446853383712,0,151,false,106,15,0.4980477120012749,0.4450878813640151,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n1,true,0.14871021238284254,0.7542458758323816,0,148,false,101,13,0.24486701391518495,0.219915457707192,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n2,true,0.6101538745911679,0.8003528173131926,0,946,false,10,10,0.4121270694795848,0.8972759475418117,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n3,false,0.00745081092825132,0.734053548110419,0,1154,false,107,15,0.5144337102074323,0.07595471670217813,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n4,true,0.8452792226018522,0.7797815630082817,0,4589,false,4,7,0.3302299236162659,0.840575071327416,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n6,true,0.46817537153531824,0.8436641981430812,0,118,false,60,19,0.8462237315786152,0.7929599181749184,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n9,true,0.44640981532932983,0.3467547303406848,0,1551,false,105,11,0.6984883332339332,0.36557837127056514,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n10,true,0.4138541786187493,0.6052875139547479,0,496,false,17,8,0.6179265606682179,0.4620361204540254,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n12,true,0.8740552326469452,0.46931172469547855,0,151,false,104,10,0.08411280914527236,0.5597288968719627,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n13,false,0.8275655921194229,0.770227106546004,0,192,false,101,4,0.032908705347140965,0.05722521380729462,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n15,true,0.28569944669901176,0.7453848249619409,0,1031,false,19,14,0.3777788934913462,0.8952486235541306,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n19,false,0.5758188543977631,0.8660997797776264,0,742,false,103,9,0.025086569532347502,0.8345130043941151,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n23,true,0.31135824064047096,0.6869305902518238,0,1371,false,109,19,0.7357288745401944,0.6071228680604048,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n26,true,0.5888427457815836,0.7283967725978981,0,364,false,102,12,0.8628953556936059,0.5069426793701881,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n29,true,0.027610256380134264,0.6845589457431854,0,1348,false,102,7,0.5402437750472555,0.7207749337085737,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n35,true,0.09443596302884796,0.9640997661167149,0,1403,false,101,4,0.06949560417371914,0.36943808839464876,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n36,true,0.4668863340325906,0.6715736316996999,0,564,false,21,16,0.47895824116147556,0.47494003247339733,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n37,true,0.7350005175151197,0.594046994672088,0,194,false,104,9,0.22258278951592947,0.9176479534733712,null
1408802,458686,897440,428614,82748,794122,103318,170844,264,69777,12971,364072,430050,53102,50216,22467,0,51301,18476,9901,3070,23865,434821,9452,11283,3130,3312,6140,1243,2069,4280,1860,8517,2766,1506,7011,2766,0,166,2964,11,155,2964,0,88775,346046,19963,68812,127462,218584,n39,true,0.8092050206430681,0.8209471485134687,0,172,false,25,14,0.6282187731189162,0.8741847330930175,null
