rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n0,false,0.779371552388387,0.746446853383712,0,599,false,100,0,0.4980477120012749,0.4450878813640151,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n1,false,0.14769503349078986,0.7542458758323816,0,599,false,100,0,0.24486701391518495,0.219915457707192,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n2,false,0.6116199954452407,0.8003528173131926,0,599,false,100,0,0.4121270694795848,0.8972759475418117,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n3,false,0.007384719410511727,0.734053548110419,0,599,false,100,0,0.5144337102074323,0.07595471670217813,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n4,false,0.8440629027323138,0.7797815630082817,0,599,false,100,0,0.3302299236162659,0.840575071327416,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n6,false,0.46775420568739917,0.8436641981430812,0,599,false,0,0,0.8462237315786152,0.7929599181749184,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n9,false,0.43891575114202735,0.3467547303406848,0,599,false,100,0,0.6984883332339332,0.36557837127056514,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n10,false,0.41540488367002504,0.6052875139547479,0,599,false,0,0,0.6179265606682179,0.4620361204540254,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n12,true,0.8731379609782763,0.46931172469547855,6,265,false,0,1,0.08411280914527236,0.5597288968719627,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n13,true,0.8269616927067717,0.770227106546004,0,17,false,101,3,0.032908705347140965,0.05722521380729462,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n15,false,0.2862828656525889,0.7453848249619409,0,599,false,0,0,0.3777788934913462,0.8952486235541306,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n19,false,0.5756000858955802,0.8660997797776264,0,599,false,100,1,0.025086569532347502,0.8345130043941151,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n23,true,0.30812458616394534,0.6869305902518238,11,599,false,0,0,0.7357288745401944,0.6071228680604048,null
8225051,3961249,7349326,709129,166596,7148382,200944,252137,462,137545,29051,3268407,3879975,111158,89786,27707,0,99405,38140,16562,12489,59684,3901565,15851,24556,19277,5826,10025,2289,3537,6813,3212,19288,5268,3022,16266,5268,0,468,18809,226,242,18809,0,1195750,2705815,309685,886065,963705,1742110,n26,true,0.5848171286792349,0.7283967725978981,19,599,false,0,0,0.8628953556936059,0.5069426793701881,null
