id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,sociable,maxDegree,cigLimit
n0,false,0.6042038106693053,0.8361771143591307,12,true,12,0.15581842816509267,0.4607640041095853,10,70
n1,true,0.440884233856389,0.9356159909637805,23,true,211,0.3709057102248679,0.3509750499579461,10,70
n2,false,0.3664427673138986,0.7406066006749362,47,true,7,0.46722335617044675,0.35225410732265394,10,70
n3,true,0.30146413418003154,0.6670116534649211,40,true,8,0.49855489492373023,0.19558926781526115,10,70
n5,false,0.7029387914074208,0.34194661584162644,0,false,0,0.7750473047588566,0.36950394614900517,10,70
n9,true,0.29169697891234353,0.6456856213622193,41,true,12,0.41785669267946085,0.5869208190296473,10,70
n11,true,0.033167554680486,0.8521300241833801,22,true,59,0.950247717730603,0.804132320923217,10,70
n13,false,0.3375781376384637,0.5835962415105221,51,true,5,0.4493924961689197,0.4977538910429924,10,70
n15,true,0.16607235132773435,0.5942524530085962,12,true,5,0.7224895350393223,0.2631164050199919,10,70
n17,true,0.007470476605989762,0.46558706405575817,12,true,300,0.7138940499403914,0.7321969920793512,10,70
n19,true,0.07423204177697465,0.7786112851896343,53,true,178,0.8659918746584816,0.6260312380577564,10,70
n20,false,0.16394730697524412,0.39045164443933117,39,true,1,0.6721053860495118,0.9843767356403219,10,70
n21,true,0.014763663735442745,0.5215214276706295,65,true,85,0.9733860295481891,0.6370352111462445,10,70
n23,false,0.5087452195275155,0.7655385861687983,49,true,18,0.08570251780009913,0.4953617839305198,10,70
n24,false,0.7791412454613283,0.5589851768577941,0,false,0,1.1630774536910857,0.5844135893902218,10,70
n28,true,0.1342741773600887,0.6866577232029232,12,true,45,0.7754334946954523,0.9489534370691446,10,70
n30,true,0.09511293746466253,0.9045721023951513,21,true,174,0.8471323578814348,0.6219258120019424,10,70
n36,true,0.23927521128395612,0.6937236405459748,12,true,12,0.5219705050384928,0.5732920177096111,10,70
n37,true,0.05914371246990411,0.7509977253663864,12,true,234,0.6542279421147068,0.517705227041909,10,70
n42,true,0.0069442548778037485,0.47716412344531073,46,true,9,0.9899813867172168,0.16961706467581955,10,70
