id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,false,0.33500737740465647,0.5368033835093468,12,true,1,0.49748893389301535,0.4406960081798421,0.3437077280183068,10,10,70
n1,true,0.11010571104569467,0.771267103368504,12,false,0,0.9426941060255652,0.43627908789172076,0.47084941100416067,10,10,70
n2,true,0.4814933322630378,0.7639304999526352,13,false,0,0.24515712786873262,0.07624418677212474,0.05295347669554795,10,10,70
n3,false,0.7797576703756497,0.4455036914468062,0,true,9,0.4626076386470043,0.011039920877614129,0.7393850325224067,10,10,70
n5,false,0.009856851114456389,0.6344108743843143,0,false,0,0.3855156622967326,0.981854447144968,0.21186699549507398,10,10,70
n8,false,0.5153917513453449,0.5058019844246942,12,true,7,0.20235266329485901,0.17555919649530644,0.9937759377258326,10,10,70
n10,true,0.9325450280313481,0.7089173854389001,13,false,0,0.9297884629762364,0.6083602639609617,0.24868353890685801,10,10,70
n17,true,0.34515570113251803,0.5088404096257816,11,false,0,0.1882749039718959,0.38241989644559043,0.6720003258656342,10,10,70
n19,true,0.20353235513470658,0.5305740062518329,11,false,0,0.5864407788545669,0.3908956950178663,0.20000768017964593,10,10,70
n21,true,0.07827213951961665,0.5335973799272837,12,false,0,0.6234623300888782,0.1631989870862372,0.7531233926954229,10,10,70
n23,false,0.7892711354059272,0.9946144477801593,0,false,0,0.2281414505251961,0.24898181420982485,0.6317968367251374,10,10,70
n24,true,0.7457117091655274,0.5322829429325437,14,false,0,0.41238681158388296,0.6493079164310159,0.6448452455220554,10,10,70
n28,true,0.5362036468668444,0.5736722660321701,12,true,9,0.8215824676998181,0.576621754483333,0.8589624968833923,10,10,70
n33,false,0.00587693777858281,0.655604057940813,12,true,5,0.9953822243485453,0.4260147134204889,0.7321883759741312,10,10,70
n38,false,0.5484857714568317,0.8319451150528717,0,false,0,0.37873408579852563,0.4741942004907541,0.7761069189740357,10,10,70
n42,false,0.3548090168200071,0.9457847586891192,0,true,9,0.2549953913264775,0.328945370924017,0.9322309156364532,10,10,70
n48,false,0.355268038936927,0.37915117229732803,12,true,6,0.4099301177275709,0.6214870810564959,0.873064976434644,10,10,70
n56,false,0.5669459456878769,0.7428020143602773,0,true,9,0.12997233752583529,0.39454358111642496,0.9978136343023559,10,10,70
n58,false,0.6967416462032936,0.38192991047313524,0,false,0,0.1805245862606941,0.6262371331833961,0.4739963552300642,10,10,70
n60,true,0.34639606284297886,0.4058881391824617,11,false,0,0.2267475888297385,0.6673349792231047,0.8249083331317408,10,10,70
n62,true,0.1306828323664383,0.5636272179900783,11,true,8,0.7916975839835368,0.004596838970564454,0.6612467831221662,10,10,70
n63,false,0.8614072287403645,0.9637916166298789,0,true,9,0.5814856883278062,0.8472874202992778,0.677606690848744,10,10,70
n65,false,0.12052351934275633,0.5897375006686396,11,true,1,0.8331212809100297,0.9432476318219171,0.5338390563804042,10,10,70
n69,false,0.4852301338666976,0.8102461222441665,0,false,0,0.6579479237894713,0.28617471671831457,0.8514173977585663,10,10,70
n70,true,0.08620548749516616,0.72615161403576,12,false,0,0.7266526701215731,0.302523803776219,0.5891190514467084,10,10,70
n72,false,0.7942929830603593,0.9277636632338221,0,false,0,0.4336882248488129,0.708059021401764,0.929625482196555,10,10,70
n73,false,0.09432284738361363,0.9513689439582566,13,true,3,0.7184662377963154,0.48714893750749294,0.6098436152273229,10,10,70
n75,false,0.5955160333764289,0.6980092738187212,12,true,6,0.2070105771226233,0.5108168098793557,0.9939263375493234,10,10,70
n82,true,0.8558789250385948,0.5828920948492005,12,false,0,0.3227225664061092,0.38524588691977096,0.3703739286534413,10,10,70
n92,false,0.5831069916413796,0.45208416916972105,11,true,6,0.028296070832519515,0.2858263928175949,0.18221897845436807,10,10,70
n94,true,0.2500862065323265,0.9350285603238642,12,false,0,0.4605506565233667,0.3179131611226437,0.6981377829022313,10,10,70
n97,false,0.6673950757902678,0.30471526516737085,0,true,9,0.8602806389664265,0.4600348394862149,0.5648936421197442,10,10,70
n103,true,0.6283355285415979,0.8618308162343902,11,false,0,0.597196943150385,0.6827360134525948,0.6431006775229253,10,10,70
n105,true,0.5477475876813267,0.80600471244913,13,false,0,0.27566144553389266,0.31024611976445365,0.683762008307,10,10,70
n110,false,0.5842079925271977,0.7927607651606917,0,false,0,0.18949716359713706,0.66243976968626,0.6179715790823865,10,10,70
n112,true,0.4414920980358628,0.9827967575926454,13,false,0,0.8198507585597776,0.405551904975226,0.3651012208873292,10,10,70
n113,false,0.028704158326440132,0.7737045548559585,13,true,8,0.9492096525796193,0.23377375918165583,0.7206851265054581,10,10,70
n114,true,0.6574558687302392,0.45058319276985725,12,false,0,0.22955166786599657,0.573785756791346,0.4384860552238553,10,10,70
n116,true,0.7543144398800625,0.8061347486247368,13,false,0,0.3464286590133717,0.4657934404467293,0.49786946056685644,10,10,70
n118,false,0.8881614040219525,0.6424040943668382,0,false,0,0.7400603069373052,0.6559458302864329,0.5081469166301574,10,10,70
n119,false,0.4415615122979723,0.40600803227224347,0,true,9,0.5512567038175347,0.6315152722819518,0.7376125699141662,10,10,70
n122,false,0.3462551492216713,0.7640397440282186,0,false,0,0.4604190129671597,0.5343735011209685,0.0867261401305911,10,10,70
n123,false,0.5341369483770304,0.8417746647892616,0,false,0,0.24009239623012193,0.5556182132363378,0.4911617481166271,10,10,70
n127,true,0.16770228579770655,0.839258202710833,11,true,7,0.7204954698409655,0.20143854054169974,0.8603860460938586,10,10,70
n139,false,0.15181305461007194,0.9910868581452594,0,false,0,0.3679329214898183,0.7716145724860808,0.8612387195051465,10,10,70
n141,true,0.30893245085917176,0.0952625292846924,12,false,0,0.549485149924059,0.8110155150759383,0.9469445197890582,10,10,70
n142,false,0.2026737327369919,0.7471323824789248,0,true,9,0.1610642545023744,0.70899879312288,0.8319311328522948,10,10,70
n147,false,0.3003234536422634,0.6655475696639832,0,true,9,0.05344384043753784,0.5587013363271143,0.855043334447571,10,10,70
n151,false,0.17432650516190965,0.6381067365694398,13,true,3,0.7691005566683485,0.6292760704266084,0.8754152620699265,10,10,70
n152,false,0.45791630339408906,0.40435067179234285,13,true,5,0.17645471171330399,0.7298864458730924,0.7695052925278445,10,10,70
n158,true,0.03256489259549039,0.5854746274862703,13,false,0,0.005709054648360523,0.538810874338034,0.48476368969749833,10,10,70
n166,false,0.12528559744802073,0.7318623777259982,12,true,4,0.7935666172959287,0.35103044166824376,0.738287184577064,10,10,70
n168,false,0.09382715435831233,0.6139226856859805,12,true,1,0.5308642282084384,0.38993183128759346,0.5822194331980646,10,10,70
n169,false,0.8445767955358991,0.4041224377279847,0,false,0,0.03728113298357501,0.13983094719032524,0.28850446138814656,10,10,70
n172,true,0.9169453185299465,0.8726693744261526,13,false,0,0.41816237295345,0.3364644643469582,0.7200030604670605,10,10,70
n174,true,0.37424042855817274,0.8312296419325923,10,false,0,0.9975703101272684,0.07902605463968848,0.6948874699026295,10,10,70
n179,false,0.6325490810463403,0.7773777813404765,0,true,9,0.8154552731292957,0.3430548417489172,0.8338231826549799,10,10,70
n187,true,0.879397151248559,0.8760775321747746,12,false,0,0.17748719884371766,0.9611142865080399,0.5565783230207895,10,10,70
n188,true,0.9953565298925318,0.628462275689911,21,false,0,0.5385288907516459,0.02877943153310436,0.9104489467725689,10,10,70
n191,false,0.16579868279377485,0.703802147047032,10,true,8,0.7398806171879326,0.6541386768082963,0.4363402014678963,10,10,70
n193,true,0.5442587728963278,0.6259802004452574,13,false,0,0.9918758367320114,0.15969220710735316,0.3780557485264683,10,10,70
n196,false,0.47694417701961433,0.6342286242494529,0,true,9,0.6141381300051053,0.8744727563948015,0.6802945383125834,10,10,70
